Index,Distance (cm),MAC Address,Unix Timestamp (ms)
0,167.04,08:3A:8D:D3:35:93,1729375448000
1,167.14,08:3A:8D:D3:35:93,1729375452000
2,167.09,08:3A:8D:D3:35:93,1729375455000
3,166.58,08:3A:8D:D3:35:93,1729375459000
4,54.86,08:3A:8D:D3:35:93,1729375462000
5,52.67,08:3A:8D:D3:35:93,1729375465000
6,52.68,08:3A:8D:D3:35:93,1729375469000
7,88.81,08:3A:8D:D3:35:93,1729375472000
8,51.83,08:3A:8D:D3:35:93,1729375475000
9,52.68,08:3A:8D:D3:35:93,1729375479000
10,50.98,08:3A:8D:D3:35:93,1729375483000
11,54.99,08:3A:8D:D3:35:93,1729375486000
12,49.79,08:3A:8D:D3:35:93,1729375489000
13,166.65,08:3A:8D:D3:35:93,1729375614000
14,167.01,08:3A:8D:D3:35:93,1729375618000
15,166.24,08:3A:8D:D3:35:93,1729375621000
16,166.67,08:3A:8D:D3:35:93,1729375624000
17,166.26,08:3A:8D:D3:35:93,1729375628000
18,166.41,08:3A:8D:D3:35:93,1729375631000
19,166.23,08:3A:8D:D3:35:93,1729375634000
20,189.94,08:3A:8D:D3:35:93,1729375638000
21,166.72,08:3A:8D:D3:35:93,1729375641000
22,166.67,08:3A:8D:D3:35:93,1729375644000
23,190.08,08:3A:8D:D3:35:93,1729375648000
24,166.58,08:3A:8D:D3:35:93,1729375651000
25,166.23,08:3A:8D:D3:35:93,1729375655000
26,166.23,08:3A:8D:D3:35:93,1729375659000
27,166.94,08:3A:8D:D3:35:93,1729375662000
28,166.68,08:3A:8D:D3:35:93,1729375665000
29,166.23,08:3A:8D:D3:35:93,1729375669000
30,6.58,08:3A:8D:D3:35:93,1729375672000
31,15.16,08:3A:8D:D3:35:93,1729375676000
32,166.53,08:3A:8D:D3:35:93,1729375679000
33,93.75,08:3A:8D:D3:35:93,1729375682000
34,9.20,08:3A:8D:D3:35:93,1729375686000
35,23.46,08:3A:8D:D3:35:93,1729375690000
36,82.52,08:3A:8D:D3:35:93,1729375693000
37,166.26,08:3A:8D:D3:35:93,1729375697000
38,165.80,08:3A:8D:D3:35:93,1729375700000
39,166.68,08:3A:8D:D3:35:93,1729375703000
40,166.33,08:3A:8D:D3:35:93,1729375707000
41,166.24,08:3A:8D:D3:35:93,1729375710000
42,166.24,08:3A:8D:D3:35:93,1729375714000
43,166.35,08:3A:8D:D3:35:93,1729375717000
44,166.58,08:3A:8D:D3:35:93,1729375721000
45,94.64,08:3A:8D:D3:35:93,1729375724000
46,166.68,08:3A:8D:D3:35:93,1729375727000
47,166.24,08:3A:8D:D3:35:93,1729375731000
48,166.14,08:3A:8D:D3:35:93,1729375734000
49,166.70,08:3A:8D:D3:35:93,1729375738000
50,165.82,08:3A:8D:D3:35:93,1729375741000
